[('', 'NN')] 
[('information', 'NN')] 
[('taken', 'VBN')] 
[('measurements', 'NNS')] 
[('used', 'VBN')] 
[('evaluate', 'NN')] 
[('changes', 'NNS')] 
[('mechanical', 'JJ')] 
[('and/or', 'NN')] 
[('geometricalproperties', 'NNS')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('', 'NN')] 
[('changes', 'NNS')] 
[('potentially', 'RB')] 
[('beused', 'VBN')] 
[('assess', 'NN')] 
[('fracture', 'NN')] 
[('stiffness', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('indicate', 'NN')] 
[('onset', 'NN')] 
[('osteoporosis', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('nokes', 'NNS')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('maylia', 'NNS')] 
[('nokes', 'NNS')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('reviewed', 'VBN')] 
[('earlier', 'RBR')] 
[('ultrasonic', 'JJ')] 
[('studies', 'NNS')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('axialtransmission', 'NN')] 
[('techniques', 'NNS')] 
[('', 'NN')] 
[('mechanical', 'JJ')] 
[('testing', 'VBG')] 
[('used', 'VBN')] 
[('directlyor', 'NN')] 
[('indirectly', 'RB')] 
[('measure', 'NN')] 
[('mechanical', 'JJ')] 
[('properties', 'NNS')] 
[('healing', 'VBG')] 
[('fracture', 'NN')] 
[('', 'NN')] 
[('addition', 'NN')] 
[('', 'NN')] 
[('numerical', 'JJ')] 
[('simulation', 'NN')] 
[('results', 'NNS')] 
[('extended', 'VBN')] 
[('understanding', 'VBG')] 
[('ultrasound', 'NN')] 
[('propagation', 'NN')] 
[('velocity', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('attenuation', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('relationship', 'NN')] 
[('acoustic', 'JJ')] 
[('frequency', 'NN')] 
[('bone', 'NN')] 
[('geometryin', 'NN')] 
[('previous', 'JJ')] 
[('studies', 'NNS')] 
[('fas', 'NN')] 
[('velocity', 'NN')] 
[('used', 'VBN')] 
[('monitor', 'NN')] 
[('fracture', 'NN')] 
[('healing', 'VBG')] 
[('long', 'RB')] 
[('bones', 'NNS')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('investigators', 'NNS')] 
[('interested', 'JJ')] 
[('extra', 'JJ')] 
[('time', 'NN')] 
[('delay', 'NN')] 
[('brought', 'NN')] 
[('differencein', 'NN')] 
