Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
118, NUM 
19, NUM 
382, NUM 
387, NUM 

, SPACE 
ELSEVIER, NOUN 
ham, NOUN 
Inbractions, PROPN 

, SPACE 
Yatedals, PROPN 
8, NUM 
Atoms, NOUN 

, SPACE 
Channeling, VERB 
studies, NOUN 
YBaCuO, ADJ 
thin, ADJ 
films, NOUN 
combined, VERB 

, SPACE 
RBS, PROPN 
PIXE, PROPN 

, SPACE 
K.H., PROPN 
Ecker, PROPN 
a9, PROPN 
Z., PROPN 
Quan, PROPN 
b, PROPN 
T., PROPN 
Schurig, PROPN 
b, PROPN 
H.P., PROPN 
Weise, PROPN 

, SPACE 
Bundesanstaltfir, PROPN 
Marerialjorschung, PROPN 
und, NOUN 
-priijmg, NOUN 
Unter, PROPN 
den, NOUN 
Eichen, PROPN 
87,122OS, PROPN 
Berlin, PROPN 
Germany, PROPN 

, SPACE 
b, PROPN 
Physikalisch, PROPN 
Technische, PROPN 
Bundesanstah, PROPN 
Abbestr, PROPN 
2, NUM 
12,10587, NUM 
Berlin, PROPN 
Germany, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Thin, ADJ 
films, NOUN 
YBa&usO, PROPN 
YBCO, PROPN 
deposited, VERB 
hollow, ADJ 
cathode, NOUN 
discharge, NOUN 
sputtering, VERB 
100, NUM 
MgO, PROPN 
100, NUM 
SrTiO, PROPN 

, SPACE 
100, NUM 
Zr(Y)O, PROPN 
YSZ, PROPN 
buffered, VERB 
r, NOUN 
plane, NOUN 
sapphire, NOUN 
studied, VERB 
channeling, VERB 
techniques, NOUN 
Simultaneous, PROPN 
Rutherford, PROPN 

, SPACE 
backscattering, VERB 
spectrometry, NOUN 
RBS, PROPN 
particle, NOUN 
induced, VERB 
X, NOUN 
ray, NOUN 
emission, NOUN 
PIXE, PROPN 
applied, VERB 
investigate, VERB 
high, ADJ 
T, NOUN 

, SPACE 
superconducting, VERB 
films, NOUN 
HTSC, PROPN 
pure, ADJ 
substrates, NOUN 
RBS, PROPN 
signal, NOUN 
Ba, PROPN 
near, ADP 
surface, NOUN 
obtain, VERB 
minimum, ADJ 

, SPACE 
yields, NOUN 
3.2, NUM 
17, NUM 
18, NUM 
films, NOUN 
MgO, PROPN 
SrTiO, PROPN 
Zt(Y)O, PROPN 
substrates, VERB 
respectively, ADV 
minimum, ADJ 
yields, NOUN 

, SPACE 
measured, VERB 
thin, ADJ 
films, NOUN 
PIXE, NOUN 
depend, VERB 
film, NOUN 
thickness, NOUN 
X, NOUN 
rays, NOUN 
total, ADJ 
depth, NOUN 
film, NOUN 
integrated, VERB 

