Pergamon, PROPN 
Corrosion, PROPN 
Science, PROPN 
Vol, PROPN 
38, NUM 
1, NUM 
pp, PROPN 
155, NUM 
170, NUM 
1996, NUM 

, SPACE 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 

, SPACE 
001&938X/96, VERB 
$, SYM 
15.00, NUM 
+, NUM 
0.00, NUM 

, SPACE 
0010, NUM 
938X(96)00123, NUM 
9, NUM 

, SPACE 
ALUMINIUM, PROPN 
MAGNESIUM, PROPN 
ALLOYS, PROPN 
CORROSION, NOUN 

, SPACE 
RESISTANT, VERB 
COATINGS, PROPN 
STEEL, PROPN 

, SPACE 
K.R., PROPN 
BALDWIN, PROPN 
R.I., PROPN 
BATES, NOUN 
R.D., PROPN 
ARNELL, PROPN 
C.J.E., PROPN 
SMITH, PROPN 

, SPACE 
Structural, PROPN 
Materials, PROPN 
Centre, PROPN 
Defence, PROPN 
Research, PROPN 
Agency, PROPN 
Farnborough, PROPN 
Hampshire, PROPN 
GUI4, PROPN 
6TD, PROPN 
U.K., PROPN 

, SPACE 
Research, PROPN 
Institute, PROPN 
Design, PROPN 
Manufacture, PROPN 
Marketing, PROPN 
University, PROPN 
Salford, PROPN 
Salford, PROPN 
M5, PROPN 
4WT, PROPN 
U.K, PROPN 

, SPACE 
Abstract, PROPN 
corrosion, NOUN 
behaviour, NOUN 
binary, ADJ 
aluminium, NOUN 
magnesium, NOUN 
Al, PROPN 
Mg, PROPN 
alloy, ADJ 
coatings, NOUN 
deposited, VERB 
steel, NOUN 

, SPACE 
panels, NOUN 
unbalanced, ADJ 
magnetron, NOUN 
sputtering, NOUN 
technique, NOUN 
studied, VERB 
Neutral, ADJ 
salt, NOUN 
fog, NOUN 
tests, NOUN 
shown, VERB 

, SPACE 
corrosion, NOUN 
resistance, NOUN 
sputtered, ADJ 
aluminium, NOUN 
alloy, NOUN 
coatings, NOUN 
increases, NOUN 
magnesium, NOUN 
content, NOUN 
raised, VERB 

, SPACE 
optimum, NOUN 
reached, VERB 
alloys, NOUN 
containing, VERB 
approximately, ADV 
20, NUM 
wt%, NUM 
Mg, PROPN 
Increasing, VERB 
magnesium, NOUN 
content, NOUN 

, SPACE 
20wt%, NUM 
improvements, NOUN 
protection, NOUN 
instead, ADV 
caused, VERB 
decline, NOUN 
corrosion, NOUN 

, SPACE 
performance, NOUN 
Potentiodynamic, ADJ 
cathodic, NOUN 
polarization, NOUN 
sweeps, VERB 
conducted, VERB 
600, NUM 
mmol, PROPN 
1, NUM 
l, NOUN 
sodium, NOUN 
chloride, NOUN 
solution, NOUN 

, SPACE 
shown, VERB 
corrosion, NOUN 
current, ADJ 
density, NOUN 
sputtered, ADJ 
aluminium, NOUN 
coatings, NOUN 
increased, VERB 
magnesium, NOUN 

, SPACE 
content, NOUN 
increased, VERB 
suggesting, VERB 
reduction, NOUN 
barrier, NOUN 
protection, NOUN 
afforded, VERB 
Al, PROPN 
coatings, NOUN 
Mg, PROPN 

, SPACE 
level, NOUN 
raised, VERB 
Open, ADJ 
circuit, NOUN 
corrosion, NOUN 
potential, ADJ 
measurements, NOUN 
shown, VERB 
sputtered, ADJ 
aluminium, NOUN 
alloys, NOUN 

, SPACE 
progressively, ADV 
active, ADJ 
magnesium, NOUN 
content, NOUN 
increased, VERB 
suggesting, VERB 
afford, VERB 
improved, VERB 

, SPACE 
sacrificial, ADJ 
protection, NOUN 
Mg, PROPN 
level, NOUN 
raised, VERB 
proposed, VERB 
peak, NOUN 
performance, NOUN 
observed, VERB 
neutral, ADJ 

, SPACE 
salt, PROPN 
fog, PROPN 
environment, NOUN 
represents, VERB 
optimum, ADJ 
balance, NOUN 
barrier, NOUN 
sacrificial, ADJ 
properties, NOUN 
Al, PROPN 
Mg, PROPN 

, SPACE 
coatings, NOUN 

, SPACE 
Keywords, NOUN 
A., NOUN 
aluminium, NOUN 
A., NOUN 
magnesium, NOUN 
A., NOUN 
metal, NOUN 
coatings, NOUN 
B., PROPN 
polarization, NOUN 
C., PROPN 
sputtered, VERB 
films, NOUN 

, SPACE 
INTRODUCTION, PROPN 

, SPACE 
Aluminium, PROPN 
coatings, NOUN 
industrial, ADJ 
scale, NOUN 
applied, VERB 
variety, NOUN 

, SPACE 
methods, NOUN 
including, VERB 
metal, NOUN 
spraying, NOUN 
hot, ADJ 
dipping, NOUN 
cladding, NOUN 
fine, ADJ 
tolerances, NOUN 

, SPACE 
required, VERB 
aluminium, NOUN 
coatings, NOUN 
deposited, VERB 
electrodeposition, NOUN 
organic, ADJ 

, SPACE 
electrolytes1, NOUN 
6, NUM 
usually, ADV 
ion, NOUN 
vapour, NOUN 
deposition, NOUN 
IVD, NOUN 
vacuum, NOUN 

, SPACE 
techniques.7-‘3, NOUN 
early, ADJ 
1970s, NUM 
aluminium, NOUN 
coatings, NOUN 
deposited, VERB 
IVD, PROPN 
route, NOUN 

, SPACE 
produced, VERB 
commercially, ADV 
technology, NOUN 
required, VERB 
obtain, VERB 
controlled, VERB 
thicknesses, NOUN 

, SPACE 
simple, ADJ 
complex, ADJ 
shapes, NOUN 
established, VERB 
Aluminium, NOUN 
coatings, NOUN 

, SPACE 
routinely, ADV 
employed, VERB 
corrosion, NOUN 
protection, NOUN 
decoration, NOUN 
metallic, ADJ 
non, ADJ 
metallic, ADJ 

, SPACE 
surfaces, NOUN 
suggested, VERB 
means, NOUN 
cladding, VERB 
corrosion, NOUN 
resistant, ADJ 
aluminium, NOUN 

, SPACE 
alloy, NOUN 
substrates.14, NOUN 
advantage, NOUN 
aluminium, NOUN 
coatings, NOUN 
receptive, ADJ 

, SPACE 
conventional, ADJ 
chromate, NOUN 
passivation, NOUN 
treatments, NOUN 

, SPACE 
Aluminium, PROPN 
coatings, NOUN 
corrosion, NOUN 
protection, NOUN 
ferrous, ADJ 
substrates, NOUN 

, SPACE 
main, ADJ 
reasons, NOUN 
Firstly, ADV 
aluminium, NOUN 
air, NOUN 
formed, VERB 
passive, ADJ 
oxide, NOUN 
film, NOUN 
forms, VERB 
effective, ADJ 

, SPACE 
barrier, NOUN 
